dsr1,dr1r2,Pr2,msr1,msr2,mr1d,mr2d,mr1r2,zeta,minPr1,minDsr2
0.083498,0.49588,0.44701,3,2,2,2,3,0.29379,0.9998,0.049
0.86083,0.62656,0.4981,3,2,2,3,2,0.24372,0.1033,0.054
0.8616,0.79821,0.87281,1,1,1,3,1,0.469,0.9998,0.001
0.48223,0.30987,0.62288,1,2,3,2,3,0.11555,0.034,0.129
0.24417,0.60027,0.010177,2,3,2,2,2,0.30441,0.0549,0.593
0.0089151,0.87044,0.1405,3,1,1,3,1,0.43993,0.9998,0.001
0.64803,0.60336,0.13976,1,2,2,2,3,0.37596,0.0263,0.278
0.03146,0.88478,0.83571,1,2,3,1,3,0.024929,0.0681,0.801
0.78962,0.85943,0.049565,2,3,1,3,2,0.1416,0.9998,0.25
0.29896,0.47928,0.88656,2,2,3,3,2,0.2234,0.9998,0.012
0.89994,0.66687,0.1202,3,1,3,1,3,0.088897,0.001,0.519
0.34287,0.74677,0.34301,3,3,1,3,3,0.10824,0.9998,0.137
0.092069,0.31682,0.49115,3,3,1,2,2,0.13913,0.9998,0.085
0.20368,0.76643,0.44307,2,1,1,2,3,0.21665,0.9998,0.004
0.94478,0.80013,0.67922,1,1,2,1,2,0.47969,0.001,0.283
0.98668,0.84054,0.47535,3,2,3,1,1,0.34045,0.001,0.86
0.47232,0.53336,0.97584,2,2,1,2,1,0.27772,0.9998,0.037
0.52395,0.94781,0.73902,3,2,2,3,3,0.28372,0.9998,0.028
0.47657,0.93832,0.014854,3,3,3,2,2,0.078347,0.034,0.848
0.10963,0.60644,0.28023,2,2,1,2,3,0.49262,0.9998,0.057
0.83701,0.88334,0.20372,2,1,1,2,3,0.27221,0.9998,0.01
0.076979,0.63195,0.83503,3,1,3,3,1,0.2347,0.9998,0.001
0.60295,0.48571,0.8648,2,2,1,1,3,0.029055,0.3805,0.384
0.89424,0.84485,0.069368,2,3,2,2,2,0.13939,0.0076,0.789
0.4794,0.92898,0.93471,2,3,2,1,2,0.40894,0.0373,0.769
